full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"Istana Senggol SBY dan Megawati, Timnas AMIN Sindir Jokowi: Emang Boleh Korbankan Negara untuk Kepentingan Anaknya?  Ini Indonesia Mainnya Terong Arhan Asnawi Struick Shayne Ernando Elkan Australia Liga 1  #AsianCup2023📷 #TimnasDay #BandungLautanAmin https://t.co/dz6hHR4cs9",istana senggol surabaya megawati timnas amin sindir jokowi korban negara anak indonesia main terong arhan asnawi struick shayne ernando elkan australia liga,Positif,0.30128536,0.25936872,0.43934596
"Sayang Timnas Indonesia kalah, padahal mainnya udah bagus tuh.",sayang timnas indonesia kalah main bagus,Positif,0.30128536,0.25936872,0.43934596
@Info_SerieA Bahkan timnas primavera aja gk kaya gini mainnya 😁,seriea timnas primavera kayak main,Negatif,0.10349248,0.5453937,0.35111374
"@bahaspemainbola @erickthohir Sejak main di piala asia timnas Indonesia, baru malam ini mainnya sangat kerenn",main piala asia timnas indonesia malam main keren,Positif,0.2566145,0.20930111,0.5340843
"@budibongg Kalah menang biasa uncle, tapi tadi mainnya timnas sungguh luar biasa, walaupun kalah tali saya tetep bangga sama Timnas Indonesia🥰",kalah menang uncle main timnas sungguh kalah tali bangga timnas indonesia,Netral,0.46896008,0.21000665,0.32103324
"Seumur-umur nonton timnas, gw rasa di #AsianCup2023 ini yang mainnya paling baik. Lawan raksasa Asia tapi tetap main terbuka, berani build-up dari bawah, nggak ngandelin long pass mulu.",seumurumur tonton timnas gue main lawan raksasa asia main buka berani buildup ngandelin long pas mulu,Netral,0.357398,0.29862785,0.34397417
"Meski Tersingkir dari Babak 16 Besar, Permainan Timnas Kontra Australia Banjir Sanjungan  https://t.co/pnzpxFOHl4 #TimnasDay #AsianCup2023 #Mainnya #Asnawi #Shayne #Struick #Elkan #STYSTAY",singkir babak main timnas kontra australia banjir sanjung,Netral,0.39334783,0.3427223,0.2639299
"Timnas Indonesia mainnya keren banget malem ini, cuma karna 'lucky' nya aja yg hilang 😭💔 suer dah sedih bgt cuyyyy😭🤏🏻",timnas indonesia main keren banget malam lucky hilang suer deh sedih banget cuyyyy,Positif,0.0006716251,0.0772893,0.92203915
"😱 Serius? tadi itu timnas Indonesia? OMG kalian mainnya keren sekali. Sekelas timnas Irak, Jepang, dan Australia mampu diimbangi. Main barusan keren banget. Save Pelatih Shin Tae Yong, @PSSI dan ketum PSSI bapak @Erikthohir wajib tambah kontrak opa legenda Korsel ini #TimnasDay https://t.co/5qMI08WD3b",serius timnas indonesia omg main keren kelas timnas irak jepang australia imbang main barusan keren banget save latih shin tae yong tum pssi wajib kontrak opa legenda korsel,Positif,0.00058312464,0.038687248,0.96072954
"kasi tau gua mana pemain papua yg dikasi kesempatan di timnas mainnya jelek?  Boaz, Elie Aiboy, Ruben Sanadi, Todd Rivaldo Ferre, Manu Wanggai, titus bonai, kambuaya, patrich wanggai, okto maniani, osvaldo haay  lu bandingin ama nama2 egy, witan, arhan.  JAUH BANGET  KUALITASNYA",kasih gua main papua kasi timnas main jelek boaz elie aiboy ruben sanad todd rivaldo ferre manu wanggai titus bonai kambuaya patrich wanggai okto maniani osvaldo haay lu banding nama egy witan arhan banget kualitas,Negatif,0.007768339,0.9468316,0.045400113
"timnas skrg mainnya uda kek eropa euy, ball possession sama build up nya gokil",timnas main kayak eropa euy ball possession build up gila,Positif,0.080852896,0.18512812,0.73401904
@wahju_wibowo Nah itu kan sudah dijelaskan diatas abroad jika peluang mainnya cukup besar. Kalau dari saya gini:  dengan pemain bagus abroad &gt  klub2 lokal mau gamau produksi pemain bagus lagi &gt  pembinaan jalan &gt  liga kualitas meningkat &gt  timnas meningkat &gt  repeat,wibowo abroad peluang main main bagus abroad klub lokal enggak mau produksi main bagus bina jalan liga kualitas tingkat timnas tingkat repeat,Positif,0.02120691,0.11613504,0.8626581
mainnya timnas cakep bgt kek han so hee,main timnas cakep banget kayak han sok hee,Negatif,0.067741215,0.7738585,0.15840033
@MINULin00s makanya gua berharap sty diperpanjang erik tohir. nanti keren nul ada tambahan 4 org buat masuk timnas pada bagus2 lg mainnya ada yg bekas pildun. buat persiapan maret nanti indo pasti lebih mateng lg,gua harap sty erik tohir keren nul orang masuk timnas bagus main bekas pildun maret indonesia mateng,Negatif,0.057009596,0.6632433,0.27974707
"@labiebsadat Baru kali ini ntn timnas kalah tp gak nyesek, mainnya bagus.",kali tonton timnas kalah sesak main bagus,Positif,0.25673538,0.27916834,0.46409634
alasan tetap bahagia walau timnas kalah:  nobar spesial 🤝 timnas mainnya bagus,alas bahagia timnas kalah tonton bareng spesial timnas main bagus,Positif,0.088730134,0.22491686,0.686353
"Tadi nonton bentr dan mainnya udah ok sihh, terimakasih timnas",tonton bentr main ok terimakasih timnas,Netral,0.4681948,0.23919778,0.29260743
"@ainurohman 90 + nonton timnas main, bener2 seru. Level permainannya benar2 meningkat. Dgn ini sy pribadi optimis menyongsong lanjutan kualifikasi piala dunia. Babak pertama mainnya bener2 asik ditonton sayangnya kebobolan 2 gol.",tonton timnas main seru level main tingkat pribadi optimis songsong kualifikasi piala dunia babak main asik tonton sayang bobol gol,Positif,0.17084745,0.24141426,0.5877382
"Timnas Indonesia udah bagus mainnya. Di 5 menit terakhir, udah lemes. Passing dah bagus. Pertahanan ga ngasal. Mental fighting masih ada. Cuma emang Australia menang kualitas.  Gapapa. Jadi pembelajaran di WCQ.  #STYstay",timnas indonesia bagus main menit lemes passing deh bagus tahan ngasal mental fighting australia menang kualitas gapapa ajar wcq,Positif,0.05620043,0.19510408,0.74869555
"Emang timnas paling bisa bikin fansnya patah hati Sebelum match udh ikhlas kalah, tiba2 mainnya keren banget, cuma apesnya malah kalah 0-4 😂",timnas fansnya patah hati match ikhlas kalah main keren banget apes kalah,Negatif,0.050504334,0.59656924,0.35292637
"@FandomID_ banyak sih,menurut gue:  1. jangan nunggu bola 2. harus lebih tenang 3. berfikir cepat dalam eksekusi 4. fokus   itu saran gue sih untuk timnas, secara teknik mainnya oke",sihmenurut gue tunggu bola tenang pikir cepat eksekusi fokus saran gue timnas teknik main oke,Positif,0.23243043,0.36166197,0.40590763
"Keren timnas hari mainnya, cuman kurang lucknya aja ini #TimnasIndonesia",keren timnas main cuman lucknya,Positif,0.1500707,0.23833284,0.61159647
"Tetep Bangga GARUDA.. bukan hasil yang kami liat, tapi cara main.. Mainnya Timnas sangat dapat dinikmati..  #TimnasDay",bangga garuda hasil lihat main main timnas nikmat,Positif,0.17352553,0.23955163,0.5869229
@MINULin00s nyampur mostly u22 makanya di afc asian cup indo yg termuda cuy wkkwk. nanti maret buat kualifikasi ke piala dunia 2026 indo vs vietnam. ini aja timnas udah lumayan sekarang gak kyk dulu mainnya cacat,nyampur mostly afc asi cup indonesia muda cuy wkkwk maret kualifikasi piala dunia indonesia vs vietnam timnas lumayan kayak main cacat,Negatif,0.17386115,0.44920135,0.37693745
@Indostransfer GGWP pokoknya all out mainnya timnas,ggwp pokok all out main timnas,Positif,0.038055886,0.13788404,0.82406
"Belakangan jarang nonton timnas tapi ternyata mainnya skrang udah bagus, lebih rapih, gak kayak dulu tendang ujung ke ujung doang wkwkw https://t.co/1VzDWgm5pP",jarang tonton timnas nyata main bagus rapi kayak tendang ujung ujung doang wkwkw,Positif,0.096755184,0.2199444,0.68330044
Timnas Australia tentu mainnya lebih santai krn praktis lawan Indonesia lebih mudah bagi mereka di banding lawan mereka di fase group.  Catatan statistik : Gol Australia vs Indonesia = Gol mereka di babak kualifikasi. https://t.co/xG4zqU5m8L,timnas australia main santai praktis lawan indonesia mudah banding lawan fase group catat statistik gol australia vs indonesia gol babak kualifikasi,Positif,0.23678683,0.26227614,0.500937
"ini bukan timnas Indonesia sih sumpah mainnya keren bgt build up dari bawah, kalah skor ga main grasak grusuk, lawan australia mendominasi lagi keren bgt, minusnya cuma 1 ada towel di Indonesia",timnas indonesia sumpah main keren banget build up kalah skor main grasak grusuk lawan australia dominasi keren banget minus towel indonesia,Positif,0.010039163,0.12182655,0.86813426
"@indosupporter Walaupkalah tapi Indonesia mainnya bagus banget terutama di babak pertama, penguasaan bola 52-38. STY masih perlu waktu buat ngasah lagi supaya bisa memanfaatkan setiap peluang untuk dikonversikan menjadi gol,Semoga STY di perpanjangbisa membawa timnas berprestasi #TimnasDay",walaupkalah indonesia main bagus banget utama babak kuasa bola sty ngasah manfaat peluang konversi golsemoga sty perpanjangbisa bawa timnas prestasi,Positif,0.038605534,0.31814545,0.6432489
Kalah 4-0 tapi mainnya Timnas Indonesia memuaskan penonton  #Timnasday,kalah main timnas indonesia muas tonton,Positif,0.2960728,0.27685463,0.42707255
"terlepas dari kekalahan telak timnas indo, mainnya udah bagus banget🤝",lepas kalah telak timnas indonesia main bagus banget,Positif,0.15290977,0.25313732,0.5939529
"Bener sekali, sayang td gaada arhan, tadi mainnya timnas bagus bgt, beda bgt dr permainan dulu sumpahh keren bangga..",sayang enggak ada arhan main timnas bagus banget beda banget main sumpah keren bangga,Positif,0.0011038063,0.16789246,0.8310037
"@theflankerID Setuju banget, Timnas mainnya jelas, cuma kurang di materi pemain aja.   Kalo Emyu kebalikannya.",tuju banget timnas main materi main emyu,Positif,0.004118631,0.24498832,0.75089306
"Apresiasi lah buat para pemain timnas. Mainnya udah bagus selama 85 menitan, memang kalah kelas dan pengalaman dibanding Australia. Menit 85 ke atas ya kayak udh hilang motivasi aja, fisik juga menurun.  Tapi GREAT JOB lah atas semua usaha dan jerih payahnya 💪💪💪",apresiasi main timnas main bagus menit kalah kelas alam banding australia menit kayak hilang motivasi fisik turun great job usaha jerih payah,Negatif,0.06052988,0.7556129,0.18385723
"timnas kalah gpp sih, sedih wajar. cuman kalau liat mainnya yang sangat dewasa kayak tadi, seneng banget. ada harapan lebih baik lah pokoknya.",timnas kalah enggak apa sedih wajar cuman lihat main dewasa kayak senang banget harap pokok,Positif,0.04426244,0.30283132,0.6529063
"@budibongg Timnas Udah keren mainnya, cuma belum lucky, #STY👍 #TimnasIndonesia 👍🙏",timnas keren main lucky,Positif,0.14760718,0.22282831,0.62956446
Timnas mainnya keren bangett aaaaa makasih udah berjuang!!! 🙌🏼  Yang ngehate semoga idupnya ga pernah tenang :p,timnas main keren banget aaaaa terima kasih juang ngehate moga hidup tenang,Positif,0.0366233,0.13798466,0.82539207
"Sejauh ini Timnas keren banget mainnya, ga peduli kalah atau menang. Udah lolos 16 besar aja gue bangga. 🤩🇮🇩",timnas keren banget main peduli kalah menang lolos gue bangga,Negatif,0.056489576,0.6310505,0.3124599
"Tapi seneng timnas mainnya bagus bgt, tinggal finishing aja😍",senang timnas main bagus banget tinggal finishing,Positif,0.0026708222,0.056525387,0.9408039
"@gojomayat @idextratime Ini bener adanya..., tadi pas lawas Australia ga ada arhan rasanya sedih bgt ga ada gol 😔. Tapi timnas mainnya bagus 🥹❤️❤️❤️",pas lawas australia arhan sedih banget gol timnas main bagus,Negatif,0.006781887,0.5761374,0.4170807
"Semangat timnas, mainnya sudah lumayan bagus cuma musuhnya masih terlalu op",semangat timnas main lumayan bagus musuh op,Positif,0.00433033,0.058955185,0.9367145
Tadi timnas mainnya keren parah pliss 🥹  #TimnasDay,timnas main keren parah pliss,Negatif,0.041303497,0.8557806,0.102915935
"Indonesia maen nya bagusss!!! gilaaa, ga berasa ky nonton timnas indo. meskipun kalah tp beneran kece banget mainnya #TimnasIndonesia",indonesia main bagus gila asa kaya tonton timnas indonesia kalah kece banget main,Positif,0.13008665,0.22871447,0.6411988
"@tanyakanrl Bener si but overall Timnas Indonesia keren bgt tadi mainnya bisa hampir seimbang sama australia. Emang boleh bujang baru lawan om om tall,gorgeous,and sexy😭",but overall timnas indonesia keren banget main imbang australia bujang lawan om om tallgorgeousand sexy,Positif,8.4434185e-05,0.00974762,0.990168
"Reaksi Netizen usai Timnas Indonesia Kalah dari Australia di 16 Besar Piala Asia 2023: Mainnya Keren, Tetap Semangat Garuda!  https://t.co/EzYfso51sE",reaksi netizen timnas indonesia kalah australia piala asia main keren semangat garuda,Positif,0.1911044,0.24044813,0.5684474
"@idextratime @bliblidotcom Justin Hubner, Ivar Janner, Marcelino, tapi semua pemain timnas udah bagus banget speisal malam ini bagus banget mainnya, statistik dilapangan juga ga kalah jauh https://t.co/26pd7hQKtL",justin hubner ivar janner marcelino main timnas bagus banget speisal malam bagus banget main statistik lapang kalah,Positif,3.9685958e-05,0.008125355,0.9918349
"Serius timnas mainnya udah bagus malah mnurutku bagusan kita daripada Australia tapi kaya ragu terus buat masukin bola jdi malah mundur terus bolanya(?). Jdi banyak peluang terbuang, TPI emang tekanan mrk pasti gede bngt🥺",serius timnas main bagus mnurutku bagus australia kayak ragu masuk bola mundur bola peluang buang tekan gede banget,Positif,0.011224037,0.0914778,0.89729816
"Udah ga ada lagi timnas yang keram tiap menit 60+ ngga ada croshing FC.   Timnas Indonesia kali ini mainnya benar-benar enak di lihat. Struick militan sekali, Shayne  beuh.. Asnawi asik nyerang. STY wajib perpanjang kontrak. https://t.co/Bv8DPPTk2I",timnas keram menit croshing fc timnas indonesia kali main benarbenar enak lihat struick militan shayne beuh asnawi asik serang sty wajib kontrak,Positif,0.05624211,0.172491,0.7712669
Nonton Timnas mainnya udah kayak di Eropa ya. Atau cuma faktor kamera?,tonton timnas main kayak eropa faktor kamera,Positif,0.26819,0.25074935,0.48106062
"Tersingkir dengan terhormat, apresiasi timnas Kita, mainnya bagus, squad termuda, dan keliatan jelas ada prosesnya. Masa depan cerah, bangga! #STYStay #BersamaGaruda #PialaAsia https://t.co/aOAQlhO2lh",singkir hormat apresiasi timnas main bagus squad muda lihat proses cerah bangga,Positif,0.012442145,0.09350245,0.8940554
"@FandomID_ Aamiiiin!  Asli, babak pertama banyak momen yg bikin heran sendiri, ini bener timnas Indonesia mainnya gini?"" Amat sangat disayangkan decision making &amp  finishing perlu banyak improve. Tp kita sudah ada dijalur yg tepat utk terus berkembang. Dimulai dari perpanjang kontrak STY!!!""",aamiiiin asli babak momen heran timnas indonesia main sayang decision making finishing improve jalur kembang kontrak sty,Netral,0.38166335,0.27166483,0.34667182
Lupa kapan terakhir nonton timnas sebelum piala asia ini.  Jauuuh enakeun pake banget mainnya.  Udah ga ngomel perihal hal2 dasar lagi.,lupa tonton timnas piala asia jauuuh enakeun pakai banget main ngomel perihal dasar,Positif,0.01878196,0.18426415,0.79695386
"Timnas gokil si keren mainnya,perlu tambah gelandangan serang",timnas gila keren mainnyaperlu gelandang serang,Negatif,0.1899087,0.51841885,0.29167247
"Sebenarnya lebih banyak yang setuju sama pendapatnya Bung Towel. Cuma malas komen aja. Toh terbukti timnas mainnya gak maju2 dari dulu. Proses sih proses, tapi kalo gak ada progres ya gimana.",tuju towel malas komen bukti timnas main maju proses proses progres,Negatif,0.010189504,0.9566974,0.033113047
Timnas mainnya udah mantep. Marselino kelas  Baggot kurs Witan sampah Kiper b aja,timnas main mantap marselino kelas baggot kurs witan sampah kiper,Positif,0.0066605187,0.0899689,0.90337056
"@HabisNontonFilm yang komentar alah sama aja dibantai juga"", eh tai kadal diem lu ya semua. lu ngga tau separah apa timnas dulu mainnya. dulu bisa umpan trobosan ke depan trus sampai aja udah syukur. nah ini udah sebagus itu mainnya masih dikomentarin jelek, kodoklah.""",komentar alah bantai eh tahi kadal diam lu lu parah timnas main umpan trobosan syukur bagus main dikomentarin jelek kodok,Negatif,7.806994e-06,0.9996456,0.00034662348
apapun hasilnya tetep belum pernah liat timnas mainnya sebagus ini🥰🥰🥰 tetep towel mending ngebubut,hasil lihat timnas main bagus towel mending ngebubut,Positif,0.23930183,0.365562,0.39513624
Keren timnas. Mainnya keren. Pengalaman berharga. Skuad muda.,keren timnas main keren alam harga skuad muda,Positif,0.005731324,0.067006834,0.9272619
@idextratime @bliblidotcom KERENAN TIMNAS INDONESIA MAINNYA,keren timnas indonesia main,Positif,0.28754848,0.26030135,0.45215017
"@unmagnetism Asnawi itu klo bagus beneran bagus. Tp yang masih di sayangkan ya cara main dia yang suka kelamaan delay bola, ini malah cara main marceng dulu, nah skrng dia malah udh lebih simple mainnya. Ayolah nawi, klo misal mau bertahan di timnas ya jngn bgtu terus",asnawi bagus bagus sayang main suka delay bola main marceng simple main ayo nawi tahan timnas,Positif,0.0050374484,0.062853195,0.9321094
@TimnasIndonesia Baru kali ini liat timnas mainnya kelas kek gini .. jalan masih panjang ini jadiin pengalaman soon juara asia + lolos world cup aamiin 🤲😭 Semoga coach STY diperpanjang .. We're on the right path🇮🇩,kali lihat timnas main kelas kayak jalan alam soon juara asia lolos world cup amin moga coach sty were on the right path,Positif,0.3126741,0.2616925,0.4256334
Jujur mainnya timnas asik bgt. Bisa ngimbangin raksasa2 asia. Belum beruntung aja  Keren parahhh. Selamat timnas! ✊🏼,jujur main timnas asik banget ngimbangin raksasa asia untung keren parahhh selamat timnas,Positif,0.0016648587,0.11414587,0.8841893
Malam ini Timnas mainnya lebih rapi n lebih bagus dibanding saat lawan Jepang.  Tapi Australia lebih efisien dalam peluang.   Melawan sekelas Australia dengan main kayak tadi udah bagus banget progressnya  #TimnasDay,malam timnas main rapi bagus banding lawan jepang australia efisien peluang lawan kelas australia main kayak bagus banget progressnya,Positif,0.005298006,0.06735744,0.9273445
"jujur gak ikhlas indo kalah mainnya, possesion, passing udh bagus tapi finishingnya masih ambyar  real mmg pengalaman itu yg kurang di timnas ini, nanti 2027 balik lagi yak timnas",jujur ikhlas indonesia kalah main possesion passing bagus finishingnya ambyar real alam timnas timnas,Positif,0.07810023,0.21329856,0.7086012
"@idextratime @bliblidotcom NT guys tapi asli keren cara mainnya, tinggal evaluasi lagi buat kedepannya dan timnas butu banget striker gak sih 😌",guys asli keren main tinggal evaluasi timnas butu banget striker,Positif,0.0111068385,0.10089536,0.8879978
"gapapa kalah, tapi malam ini mainnya timnas diatas rata2 banget dan ga teka teki 🫶 love sekebon buat timnas indonesia ❤️",gapapa kalah malam main timnas banget teka teki love kebon timnas indonesia,Positif,0.015151136,0.12123032,0.8636185
"Kaga ya gua kritik, Arhan juga pas main jelek lawan Brunei gua kritik. Eh malah gua dikatain penyepong Arhan. Timnas mainnya bagus bgt hari ini tapi emg ada beberapa yg kehilangan bola apalagi di babak kedua. Greget kan netizen banyak peluang buat lakuin lemparan ke dalam, tapi-",kagak gua kritik arhan pas main jelek lawan brunei gua kritik eh gua katai penyepong arhan timnas main bagus banget hilang bola babak greget netizen peluang laku lempar,Negatif,0.0013393081,0.9804921,0.01816857
bangga sama timnas indo. mainnya keren bgt sumpah. will comeback stronger! #TimnasDay https://t.co/MXk8Nv3MlA,bangga timnas indonesia main keren banget sumpah will comeback stronger,Positif,0.005518287,0.07259596,0.9218857
"@rasophi Yaee mainnya juga udah bagus ini udah ngerepotin Jepang sama Irak, asal jangan direcokin lagi aja ini timnas",yaee main bagus ngerepotin jepang irak direcokin timnas,Positif,0.001309697,0.036312424,0.96237785
@ainurohman Tetep suka timnas mainnya bagus  Semoga istiqomah main cantik,suka timnas main bagus moga istikamah main cantik,Positif,0.007818449,0.068744764,0.9234367
@tvOneNews Tai ko hancur lebur mainnya TIMNAS jauh lebih bagus dari tahun tahun sebelumnya,tahi hancur lebur main timnas bagus,Negatif,6.009451e-05,0.99880004,0.001139822
@ainurohman Sudah keren mainnya timnas.. lanjutkan anak muda!!,keren main timnas anak muda,Positif,0.035071008,0.13872027,0.8262087
"ndes gapapa timnas kalah karena mainnya uda bagus, yg penting kita mutualan ya sama m26. wajib followback ya",ndes gapapa timnas kalah main bagus mutualan wajib followback,Positif,0.013553259,0.09314311,0.89330375
"@idextratime @bliblidotcom Witan, egy, asnawi udah gak cocok lagi mereka masuk timnas mainnya gak jelas taik",witan egy asnawi cocok masuk timnas main tahi,Negatif,0.1653325,0.6023379,0.23232965
@indosupporter Hasil akhir berbanding terbalik dgn jalannya permainnya. Timnas kita mainnya keren banget,hasil banding jalan main timnas main keren banget,Positif,0.043480907,0.16335315,0.79316586
Tp timnas good bgt mainnya (kecuali asnawi). Gw smpe kaget krn bisa ngimbangi. Btw ivar mainnya konsisten cakeup🥹,timnas good banget main kecuali asnawi gue kaget ngimbangi btw ivar main konsisten cakeup,Positif,0.06412818,0.4435208,0.49235097
@Indostransfer Serius itu tadi timnas kita yang main ndos? Lawan australia serasa lawan negara sebelah yang kuning tadi mainnya,serius timnas main ndos lawan australia serasa lawan negara belah kuning main,Positif,0.29662532,0.32156667,0.38180804
"Apresiasi buat tim yang datang dengan rank FIFA terendah dan rata rata usia termuda 🩷  Overall mainnya cantikkk banget. Lawannya udah level Jepang, Australia, Iraq broh 🤙  There will be many lessons learned during the Asian Cup Thank u, Timnas Indonesia!  #TimnasDay https://t.co/JpJYxHZifU",apresiasi tim rank fifa rendah usia muda overall main cantik banget lawan level jepang australia iraq broh there will be many lessons learned during the asi cup thank timnas indonesia,Positif,0.0048674108,0.064337485,0.9307951
"@UpdateBolabola Mudah2an setelah berlaga di liga terbaik di dunia, pemain timnas mainnya tetap seperti di piala asia🤔",mudah laga liga dunia main timnas main piala asia,Negatif,0.2266169,0.4276726,0.34571052
timnas hari ini mainnya bagusss tp emang aussie jg bagus &amp  lebih banyak pengalaman sama kayak pas lawan jepang kemarin,timnas main bagus aussie bagus alam kayak pas lawan jepang kemarin,Positif,0.011512851,0.09307951,0.8954077
Keren bgt timnas mainnya Cuman kurang gol aja,keren banget timnas main cuman gol,Positif,0.0006571933,0.026485516,0.9728573
"walaupun kalah, tapi mainnya timnas dah oke sih, lumayan bisa menguasai pertandingan.",kalah main timnas deh oke lumayan kuasa tanding,Positif,0.009313785,0.121974155,0.86871207
"Terlepas Timnas Indonesia kalah tapi menurutku keren bgt tetepan mainnya, apalagi rata rata pemainya masih muda, ditambah suporter Indonesia yang ga kalah keren juga full support Indonesia apapun hasilnya. ✨✨",lepas timnas indonesia kalah keren banget tetepan main mai muda suporter indonesia kalah keren full support indonesia hasil,Positif,0.0011695771,0.03545782,0.96337265
"@SiaranBolaLive walaupun kalah tapi mainnya bagus banget, indonesia sekeren itu, proud of them, terimakasih timnas",kalah main bagus banget indonesia keren proud of them terimakasih timnas,Positif,0.0031948779,0.053168457,0.9436368
"Terlepas dari skor akhir, timnas mainnya udah jauh berkembang. Gapernah liat sebelumnya berani main terbuka dan nguasain bola lawan tim sekelas Australia. #STYStay",lepas skor timnas main kembang enggak pernah lihat berani main buka nguasain bola lawan tim kelas australia,Netral,0.40453604,0.29096478,0.3044992
"@ainurohman Babak pertama oke banget mainnya. Babak kedua fisik mulai turun diatas menit 60an, selalu ada alur bola gak jelas dan ngga bisa buka ruang. Tapi apresiasi tinggi buat timnas senior di piala asia ini. Semoga di piala asia U-23 besok bisa sampe 8 besar lah ya🫵🏻😎 @PSSI",babak oke banget main babak fisik turun menit an alur bola buka ruang apresiasi timnas senior piala asia moga piala asia besok,Negatif,0.030413311,0.5514545,0.41813216
"Permainan Indonesia bner2 ga kaya dulu, enak banget sekarang mainnya.  Kurangnya cuma 1, penyerangnya plisss harus bisa memanfaatkan peluang   Tapi tetep bangga sama timnas yang sekarang 😍🥺 #TimnasDay 🇮🇩 https://t.co/16ZOywqEVr",main indonesia kayak enak banget main serang plisss manfaat peluang bangga timnas,Positif,0.005380709,0.065557845,0.9290614
"@25maggio_ @SiaranBolaLive lokal aja mainnya gitu visi gada main selalu bingung kalau udah sampai depan finishin ampas, shooting ampas terus buat apa juga kalau gk ngambil pemain diaspora? selagi buat timnas maju &amp  berkembang ya harus dilakukan",lokal main visi enggak ada main bingung finishin ampas shooting ampas ngambil main diaspora selagi timnas maju kembang laku,Positif,0.3061297,0.3277225,0.36614785
TimNas Indonesia mainnya kaya Tim liga Inggris 💯,timnas indonesia main kayak tim liga inggris,Negatif,0.14018604,0.60089344,0.25892055
"@ayatsucii @idextratime @bliblidotcom sebagus apapun peak timnas, kalo ketemu king thai kemungkinan besar mainnya ngablu🙏🏻",bagus peak timnas ketemu king thai main ngablu,Positif,0.016920762,0.09777132,0.88530797
"tetep bangga sama timnas yg lolos piala asia murni dari pra kualifikasi dan mainnya bagus, bukan ngubah peraturan buat lolos kualifikasi dengan ngandelin orang dalem 🤭",bangga timnas lolos piala asia murni pra kualifikasi main bagus ngubah atur lolos kualifikasi ngandelin orang dalem,Positif,0.04402322,0.41622242,0.5397544
@idextratime Gue bangga sama timnas!!! Mainnya bagus cuman kurang killer the game. Sisanya mantap. Kita ada kualifikasi dunia dan kita doakan kita lolos piala dunia 2026!!!,gue bangga timnas main bagus cuman killer the game sisa mantap kualifikasi dunia doa lolos piala dunia,Positif,0.051499024,0.23689409,0.7116069
"Gpp timnas udah main cantik malem ini,yg mainnya jelek itu timses 0..",enggak apa timnas main cantik malam iniyg main jelek timses,Negatif,0.01569362,0.9442355,0.04007084
"Kalau udah lepas gini mainnya keren, sayang emang depannya bapuk banget. Permainan timnas terkeren sepanjang piala Asia, sayang emang kurang pengalaman aja. Masa depan timnas cerah di piala Asia 2027 Insyaa Allah",lepas main keren sayang bapuk banget main timnas keren piala asia sayang alam timnas cerah piala asia insyaa allah,Positif,0.0009039628,0.028266085,0.9708299
Australia lawan Timnas barusan mainnya seperti bus AKAP: Efesiensi.,australia lawan timnas barusan main bus akap efesiensi,Positif,0.32891822,0.3338531,0.33722875
"terlepas dari 4 gol tadi, timnas mainnya bagus dipertandingan ini daripada pas lawan jepang, udah keliatan PD, wajib diperpanjang ini STY",lepas gol timnas main bagus tanding pas lawan jepang lihat wajib sty,Positif,0.004061674,0.059099466,0.93683887
"@50percenthell @unmagnetism mainnya udah bagus, jauh lebih tenang daripada lawan jepang  sayangnya 3 lesbian di lini depan gabisa diandalkan.  asnawi jangan ditanya, kalau dia gapunya foto bugilnya STY kayaknya dia gaakan dipanggil timnas",main bagus tenang lawan jepang sayang lesbian lini enggak bisa andal asnawi enggak punya foto bugil sty kayak gaakan panggil timnas,Positif,0.12888467,0.26853922,0.60257614
"Overall, timnas mainnya udah naik kelas terlepas skor tadi. 3-5 tahun lagi bakal jadi solid banget. Percaya proses🔥",overall timnas main kelas lepas skor solid banget percaya proses,Positif,0.010088026,0.0800046,0.90990746
timnas mainnya dh bagus coba lagi team🥺🥺♥️ dh lolos 16 besar dh bangga apalagi ini lawan Australia trus belajar and fighting 🔥🔥🔥,timnas main deh bagus coba team deh lolos deh bangga lawan australia ajar and fighting,Positif,0.00044765387,0.022261333,0.97729105
yh hari ini timnas kalah tp tadi mainnya udh bagus udh keren tinggal  lini depannya aja sih... ball control and possession udh lumayan bagus tinggal cetak gol aja,timnas kalah main bagus keren tinggal lini ball control and possession lumayan bagus tinggal cetak gol,Positif,0.0026509394,0.04891505,0.94843394
Keren sih mainnya hari ini…  Ayo pemain2 timnas yg masih main di liga 1 coba ke liga LN dong biar mateng  Buat pak erick thohir pleaseeee benahin sistem liga 1 kurangin pemain asing banyakin liga buat para junior,keren main ayo main timnas main liga coba liga ln mateng erick thohir pleaseeee benah sistem liga main asing liga junior,Negatif,0.020217868,0.9062239,0.073558256
"Yang bilang Timnas Indo bapuk mainnya lah, ngeHujat Asnawi lah. Eh kita baru pertama masuk Piala Asia 16 besar pula progress mainnya kalian liat bagus bgt coyyyy semua tuh berProgressss Expetasi lu ketinggian pada",timnas indonesia bapuk main hujat asnawi eh masuk piala asia progress main lihat bagus banget coyyyy berprogressss expetasi lu,Positif,0.00084698375,0.03500168,0.9641514
plis ya anak' Timnas besok kalian semua latihan finishing tadi mainnya udh bagus tapi finishing nya gak jelas 🙏🙏,plis anak timnas besok latih finishing main bagus finishing,Positif,0.11961173,0.21057062,0.66981757
