full_text,topic,processed,predicted_label,predicted_probability
Orang orang pake moist cosrx lama lama bgt ada yg sampe mau setahun KO AKUUU CUMA SAMPE 2-3 BULAN DOANG SIHHH. Ini aku yg boros apa gimana???,4,orang-orang orang-orang pakai memoist cosrx banget doang boros apa-apa,Negatif,[0.984411]
moist cosrx bagus banget tp mehong bet,2,memoist cosrx bagus banget pehong banget,Positif,[0.9235685]
@ssefnum pake moist cosrx yang oil free sama ss azarine ijo kuning/facetology itu nahan banget klo di aku,4,pakai memoist cosrx oil fre azarine ijo kuningfacetology menahan banget,Positif,[0.9840576]
Jadi pengen beliin nyokap essence sm moist cosrx yg snail mucin dah tp kasian rekening gw beliau lebih tajir ketimbang gw,4,pengin bel nyokap esence memoist cosrx snail memuc deh kasihan rekening gue beliau tajir ketimbang gue,Positif,[0.53252447]
Moist cosrx yang gede sekarang dah ga ada bau Citrus nya ??,4,memoist cosrx gede deh tidak_bau citrus,Negatif,[0.6918762]
@eddyismien pake moist cosrx yg snail mucin jg bisaa. walaupun complexionya matte di aku tetep glowyyy gituu,1,pakai memoist cosrx snail memuc complexionya mate glowy,Positif,[0.990562]
dulu seneng dah cocok sama moist cosrx sekarang gw bingung mau repurchasenya gimana ,4,senang deh cocok memoist cosrx gue bingung repurchasenya,Negatif,[0.8420589]
Ini moist cosrx emang bau rumah sakit apa gimana?,4,memoist cosrx bau rumah sakit apa-apa,Negatif,[0.9322797]
@lannstyles Ril. Sama gara-gara nyoba exfo. . Mana moist cosrx lembab banget. Jadi ga sembuh-sembuh.,2,ril garagara coba exfo memoist cosrx lembab banget tidak_sembuhsembuh,Positif,[0.65223217]
@ohmybeautybank Temenku make originote. Katanya sih dupe nya skintific. Moist cosrx juga bagus nder katanya bikin lembab bgt dimuka,3,teman pakai originote dupe skintific memoist cosrx bagus dar lembab banget muka,Positif,[0.8988003]
Moist cosrx yg snail itu bagus banget coyyyyyyyyyyy TAPI KRENAOA JUGA MAHAL ABIESSSS ,2,memoist cosrx snail bagus banget coy krenaoa mahal abies,Positif,[0.9059468]
@ohmybeautybank cosrx bagus banget aku pake dikit aja udah bisa ngelembapin semuka. gatau ini perasaan gue aja selama pake moist cosrx bekas jerawat gue puder gitu ,2,cosrx bagus banget pakai dikit lembap muka enggak tau peras gue pakai memoist cosrx bekas jerawat gue puder,Positif,[0.65953207]
@loomiesha @ohmybeautybank mw skingame fw somethinc low ph moist cosrx oil free (disclaimer this can worsen oily skin ;) tapi karena aku combi jadi masih cocok) ss beauty of joseon,4,skingame fw somethinc low ph memoist cosrx oil fre disclaimer this can worsen oily sk combi cocok beauty of joseon,Positif,[0.92693377]
@Vheyyyp @ohmybeautybank Hii kak mau tanya kakak cocok moist cosrx oil free serumnya pakai somethinc diamond? Soalnya mau coba serumnya takut ga cocok di combi moist oil free,4,hi kak kakak cocok memoist cosrx oil fre serum pakai somethinc diamond coba serum takut tidak_cocok combi memoist oil fre,Negatif,[0.5369091]
@ohmybeautybank untuk pori2 coba pake essence &amp; moist COSRX yg snail mucin deh kak aku ngaruh bngt,4,pori coba pakai esence memoist cosrx snail memuc deh kak ngaruh banget,Positif,[0.86461174]
ganti moist Cosrx oil free malah beruntusan,4,ganti memoist cosrx oil fre beruntus,Positif,[0.65623975]
@gottaluvinnie Kombinasi ya? Mungkin bisa coba moist cosrx yg inii tipe kulit kita sama dan aku udh pake ini selama 2 bulan and menurut aku bagus kok. Agak sedikit pricy tapi worth the money dan karena isinya sebanyak 100ml ini habisnya bakal lama sih https://t.co/z7QLM1CG1Q,2,kombinasi iya coba memoist cosrx tipe kulit pakai and bagus pricy worth the money isi ml habis,Positif,[0.86543363]
@ohmybeautybank St combi-oily Pake moist cosrx cocokk bgtt ga sumuk dan lembabin kalo lg kering kalo lg minyakan juga ga bikin makin minyakan,3,st combioily pakai memoist cosrx cocok banget tidak_sumuk lembab kering meminyak-minya tidak_meminyak-minya,Positif,[0.95214564]
@ohmybeautybank aku make snail truecica itu ga cocok beruntusan parah make moist cosrx juga ga cocok beruntusan juga st nya combi,3,pakai snail truecica tidak_cocok beruntus parah pakai memoist cosrx tidak_cocok beruntus st combi,Negatif,[0.84932053]
@ohmybeautybank jangan skip moist nder kalo aku dry combi oily pake moist cosrx yang oil free itu aman,3,jangan_skip memoist dar dry combi oily pakai memoist cosrx oil fre aman,Positif,[0.94636816]
pengen beli moist cosrx tapi kok aaa mahaaal aaa,2,pengin beli memoist cosrx a mahal a,Negatif,[0.7004814]
@ohmybeautybank scroll replyan banyak yg make dan bilang kalo moist cosrx bagus dan ngelembapin yak padahal di aku tuh muka jd kusem pas make dan kek minyakan gitu,2,scrol replyan pakai bilang-bilang memoist cosrx bagus lembap iya memuka-muka kusam pas pakai kayak meminyak-minya,Negatif,[0.5888487]
@bittercaffeines wishlist aku moist cosrx dari dulu pgn beli tp ga kesampean karna harganya mahal betul bismillahirrahmanirrahim,2,wishlist memoist cosrx pengin beli tidak_harga mahal bismilahirahmanirahim,Negatif,[0.73175967]
gue ga bakal bosen buat recommend ke orang buat nyobain moist cosrx warna biru,0,gue tidak_bosan recomend orang-orang coba memoist cosrx warna biru,Negatif,[0.7118255]
pengangguran lagi mikirin cara buat repurchase moist cosrx bjir momen wkwk kasian ,3,angur pikir repurchase memoist cosrx bjir momen wkwk kasihan,Negatif,[0.96834123]
jog moist cosrx ini cocok buat kulit super kering ga ya? testi dari kalian ato ada rekomendasi moist lain? tia https://t.co/DUCExoCLR8,4,jog memoist cosrx cocok kulit super kering tidak_iya testimoni rekomendasi memoist tia,Positif,[0.9083953]
@ohmybeautybank Ini review aku sbg pengguna moist cosrx dan sekarang udah sekitar ±4 bulan belum habis tuh. Terus aku pernah pakai moist skin1004 yg biru baguss sh klo untuk melembabkan kulit keringku. Cuman lama kelamaan bikin muka jadi berminyak https://t.co/nPrrny5hzt,2,review kuna memoist cosrx belum_habis pakai memoist sk biru bagus sh lembab kulit kering cuman kelam memuka-muka minyak,Positif,[0.50038993]
@_ditra__ @ohmybeautybank oooh ya ampun aku salah bacaaa maaf yaa aku masih pakein moist cosrx ka kemarin beli full size pas bulan november jadi sayang kalau harus beli baru wkwkwk,2,ditra oh iya ampun salah baca maf iya pakein memoist cosrx kak kemarin beli ful size pas november sayang beli wkwkwk,Negatif,[0.8207818]
@ohmybeautybank moist cosrx oil free bikin gampang keringetan plus berminyak ,4,memoist cosrx oil fre gampang keringetan plus minyak,Positif,[0.8538357]
@stipenstrange @ohmybeautybank ah i'm sorry to hear that:(. mungkin cocok cocokan ya kak. atau di skincare ada yg perlu diganti kak? soalnya waktu itu aku pernah pake moist cosrx dan malah breakout lg trs sama dokternya dsruh ganti moist lain sesuai rekomen dia. btw aku ke dr. corry ya kak.,4,ah im sory hear that cocok coco iya kak skincare ganti kak pakai memoist cosrx breakout dokter dsruh ganti memoist sesuai rekomen btw cory iya kak,Positif,[0.7055676]
@ohmybeautybank Moist Cosrx panas cooy di muka cekat cekit bikin banjiir,4,memoist cosrx panas coy memuka-muka cekat cekit banjir,Negatif,[0.78037155]
@SheikhaChika @ohmybeautybank st aku oily acne prone ya!! sebelum pakai moist cosrx susah cari moist yg cocok &amp; malah cocok di ceramon aku pakai ceramon 1 thn &amp; habis 4 - 5. teksturnya gel cukup lembabin enak dipakai selama aku pakai bisa ngurangin beruntusan aku. cm minus finishnya agak berat di muka aku,3,st oily acne prone iya belum_pakai memoist cosrx susah cari memoist cocok cocok ceramon pakai ceramon habis tekstur gel lembab enak pakai pakai beruntus minus finishnya berat memuka-muka,Positif,[0.85256493]
Istiqomah pake moist cosrx semoga beneran bisa nyembuhin jerawat,2,istikamah pakai memoist cosrx moga benar sembuh jerawat,Positif,[0.86189896]
@convomfs moist cosrx udah cocok aja pake itu,2,memoist cosrx cocok pakai,Positif,[0.85598683]
MOIST COSRX GASAMPE 180K NANGISSSS UANGKUU DAH ABISS PADHAL BARU AWAL BLN https://t.co/djK41KbM0x,4,memoist cosrx gasampe tangis uang deh habis padhal,Negatif,[0.9825487]
Tukang makeup kan udh bnyk spons foundi dipake berganti2an ga kebayang kan sebulan udh brp org yg dimakeupin kalaupun dicuci juga ga mungkin bakal higienis. Belum lagi yg buat apply bedak keknya juga ga dicuci mana gue kmrn saking kselnya jdi beli moist cosrx lagi,1,tukang memakeup spons foundi pakai ganti tidak_bayang sebulan orang dimakeupin cuci tidak_higienis belum_aply bedak kayak tidak_cuci gue kemarin saking kselnya beli memoist cosrx,Negatif,[0.9133631]
@florosynr @ohmybeautybank kak mau nanya dong moist cosrx ini ada baunya ga ya? aku beli yang 20ml dari wts-an tuh kek ada bau balsem(?) gatau gabisa jelasin pokoknya punyaku ada bau2nya gitu,4,kak memoist cosrx bau tidak_iya beli ml wtsan kayak bau balsem enggak tau enggak bisa pokok bau,Negatif,[0.8846665]
@ohmybeautybank MOIST COSRX COBAIN RILL aku udah abis 3 tube dulu pernah break out trs mostly ditolongin sama moist ini habisnya lama 8 bulan di aku tp sayangnya banyak palsunya trs aku pernah kegocek dan break out lagi https://t.co/5IYdx5GDhj,1,memoist cosrx coba ril habis tube break out mostly tolong memoist habis sayang palsu gocek break out,Negatif,[0.7512793]
moist cosrx skrg susah bner dicari,2,memoist cosrx susah benar cari,Negatif,[0.8202453]
moist COSRX sangat worth to buy karena dia satu pump juga udah lembab. aku pake dari 18 Juni baru kepake segini woy https://t.co/QD9ojy57PO,2,memoist cosrx worth buy pump lembab pakai juni kepake segini woy,Positif,[0.7684839]
@rosegoldqv7 @ohmybeautybank buat fw aku make cerave sa smoothing cleanser karena dia mild ga bikin keset sama tonerku oxy moist cosrx oilfree. ss make anessa &amp; innisfree nyari yang physical krn kulitku acneprone banget kurang cocok sm chemical ss tinggal kencengin double/kadang triple cleanse (cont),0,fw pakai cerave sa smothing cleanser mild tidak_keset tonerku oxy memoist cosrx oilfre pakai anesa inisfre cari physical kulit acneprone banget cocok chemical tinggal kenceng doublekadang triple cleanse cont,Positif,[0.9945528]
Seneng bgt semenjak pake moist cosrx yg ini seharian beneran tahan muka berminyak knp aku baru pake ya huhu sungkem sama yg buat https://t.co/Pa7gsXRJTT,2,senang banget semenjak pakai memoist cosrx benar tahan memuka-muka minyak pakai iya huhu sungkem,Positif,[0.7733082]
@itsurbabyyyyyyy Ada moist cosrx yang ini juga 55k exp 02/24 80ml besar https://t.co/PfaE4h6RgM,0,memoist cosrx exp ml besar-besar,Positif,[0.86697555]
@ohmybeautybank Kulitku berminyak berjerawat dan aku juga pakai moist cosrx. Untuk sunscreennya aku pakai ini. Udah repurchase sampai 3 tube review pemakaian pribadi. Formula terbaru gk perih kalau kena jerawat dan under eye. Teksturnya gel lotion ringan bgt gk ada whitecast dan lembabnya jg https://t.co/xdpJeyl5uN,3,kulit minyak jerawat pakai memoist cosrx sunscrenya pakai repurchase tube review pakai pribadi formula tidak_perih kena jerawat under eye tekstur gel lotion ringan banget tidak_whitecast lembab,Positif,[0.8644994]
Moist cosrx oil free enakk bgtt d pkee tp mahalll bgt anjirr smoga awettnya 2 bulanan deh biar gak boncos ,2,memoist cosrx oil fre enak banget pakai mahal banget anjir moga awet deh tidak_boncos,Positif,[0.9463452]
kok moist cosrx gak enak ya baunya,2,memoist cosrx tidak_enak iya bau,Negatif,[0.7801895]
@ohmybeautybank https://t.co/nMGzDrqXyb st aku dry pake moist cosrx melembabkan,3,st dry pakai memoist cosrx lembab,Positif,[0.92640924]
@HRJ23O0 Moist Cosrx ± 190k - 210k sih pinter nyari promo aja kalo ss sih wardah skin aqua facetology anessa... Kebanyakan ss brand Jepang bagus sih,4,memoist cosrx pintar cari promo wardah sk aqua facetology anesa kebanyakan brand jepang bagus,Positif,[0.93004656]
@JUALAN_AUTOBASE Ini ada moist cosrx nder punya sodaraku aku bantu jualin https://t.co/Uud3iKc2Zf,2,autobase memoist cosrx dar sodaraku bantu jual,Negatif,[0.57845676]
@putrisilwii @ohmybeautybank Rill aku cinta bnget sama moist cosrx oil free,4,ril cinta banget memoist cosrx oil fre,Positif,[0.9050747]
kan aku pakai moist cosrx yg snail kuning tempat bulat kalo diganti step akhir sama produk ini gapapa kali ya...,0,pakai memoist cosrx snail kuning bulat ganti step produk gapapa kali iya,Positif,[0.74597114]
pengen pake moist cosrx oil free lagi karena jujur emang awet banget tapi gue ngerasanya minyakan banget pake moist ituu. tapi pake skintific boncos anyink,4,pengin pakai memoist cosrx oil fre jujur awet banget gue meminyak-minya banget pakai memoist pakai skintific boncos anyink,Positif,[0.7668668]
muka gua ngapa si gue beli fw cosrx yg mahal malah ga cocok giliran pake originote yg 30rb malah cocok tp moistnya malah ga cocok cocoknya malah moist cosrx anjir lah kan ribet belinya jadi beda2 tempat kalo dtgnya barengan gapapa :)))))),4,memuka-muka gue gue beli fw cosrx mahal tidak_cocok gilir pakai originote ribu cocok memoist tidak_cocok cocok memoist cosrx anjir ribat beli beda dtgnya bareng gapapa,Positif,[0.6887798]
moist cosrx oil free ± 106k YAY BGT ga? pake cb 50% sd 50k. yg pernah beli ini paling murah diharga brp kalian dpt? https://t.co/0MbXXGfyOa,4,memoist cosrx oil fre yay banget tidak_pakai coba sd beli murah harga,Positif,[0.8863573]
@ohmybeautybank moist cosrx oil free moist yg bagus banget di oily skin &amp; bantu sembuhin bo aku luvv bangett https://t.co/VMb7i0ZOuX,4,memoist cosrx oil fre memoist bagus banget oily sk bantu sembuh bo luv banget,Positif,[0.9789951]
tanya udah oke belum moist cosrx segini? ini dpt cb 42k https://t.co/AVyfwa917o,1,oke belum_memoist cosrx segin coba,Positif,[0.9420153]
@ohmybeautybank Moist cosrx si penyelamat bo ku https://t.co/MnQgDrcT8b,4,memoist cosrx penyelamat bo ku,Negatif,[0.61714435]
@JudesPeople kulit aku gak pernah sensitif smpe merah gt cuma emg jerawatann wrwrwr aku cuci muka double cleansing sama pake moist cosrx aja lgsg calming kalo ada jerawatt gewde ️,3,kulit tidak_sensitif merah jerawat wrwrwr cuci memuka-muka double cleansing pakai memoist cosrx langsung calming jerawat gewde,Positif,[0.9658489]
@0912babies @ohmybeautybank iya moist Anua tergolong lebih baru sih ketimbang moist cosrx. Kebetulan aku udah pakai keduanya kalau aku jujur prefer Anua. Tapi karena lebih ke texture dan finishnya. si COSRX itu lumayan berat dan bikin sumuk di aku. Krn kondisi kulit ya,4,iya memoist anua golong ketimbang memoist cosrx pakai jujur prefer anua texture finish cosrx lumayan berat sumuk kondisi kulit iya,Positif,[0.9206254]
moist cosrx knp mahal bngt sih... https://t.co/7Uw7TkbEjS,2,memoist cosrx mahal banget,Negatif,[0.7520828]
@ohmybeautybank https://t.co/8T1CHZXrg5 kulit ku jg kering nder. aku pake rangkaian skincare ini kd ngelembapin kulit. yg paling works buat ngelembapin itu moist cosrx sm ss skin aqua,2,kulit ku kering dar pakai rangkai skincare kd lembap kulit works lembap memoist cosrx sk aqua,Positif,[0.7745075]
@ohmybeautybank Ada yang pake moist cosrx yang cream snail mucin nggak? Di aku kok finisnya agak panas ya dimuka tapi emang bikin calming sih.,1,pakai memoist cosrx cream snail memuc tidak_finis panas iya muka calming,Positif,[0.8308332]
@cipliiiii @ohmybeautybank Kak maaff mau tanya bekas jerawat hitam kakak ngilanginnya pakai apa?? Jerawat on off juga pakai apa? Pakai moist cosrx aja atau sama tonernya? Maaf banyak tanya,2,kak maf bekas jerawat hitam kakak kilang pakai apa-apa jerawat on of pakai apa-apa pakai memoist cosrx tonernya maf,Positif,[0.84163535]
@ohmybeautybank Aku dulu pas jerawatan pake ini trs gak kuat karna mehong + isinya dikit trs pindah ke moist cosrx snail mehong jg sih tp isinya banyak dan awett cocok bgt d muka ku sekarang jerawat udh ilang ️,2,pas jerawat pakai tidak_kuat pehong isi dikit pindah memoist cosrx snail pehong isi awet cocok banget memuka-muka ku jerawat hilang,Positif,[0.9666819]
@fat_alth Pakai basic skincare dulu aja kak moist cosrx bagus kok buat benerin skin barrier karena dia fungsinya melembabkan kulit^^,2,alth pakai basic skincare kak memoist cosrx bagus benar sk barier fungsi lembab kulit,Positif,[0.98691523]
@ohmybeautybank Yg make moist cosrx plss jawab dong sebotol itu hbisnya brp bulan soalnya kn mahall y takut cepet abiss,2,pakai memoist cosrx pls botol hbisnya mahal takut cepat habis,Positif,[0.74136996]
@ohmybeautybank Aku dari skintific ganti ke eiem. Waktu itu nyoba moist cosrx sama originote gada yang cocok trus nyoba eiem ternyata cocok dan teksturnya juga mirip sama skintific,2,skintific ganti eiem coba memoist cosrx originote enggak ada cocok coba eiem nyata cocok tekstur skintific,Positif,[0.81238985]
@ohmybeautybank Cosrx moist nder!!! Aku juga pengguna skintific awalnya tapi ga sanggup repurchase mahal trs isinya dikit banget:( cosrx bagus bgt asli muka ku jadi lebih alus dan cerahan pas pake moist cosrx. Dia membantu skincare lain bekerja lebih maksimal https://t.co/16A5LpxWv1,2,cosrx memoist dar kuna skintific tidak_sangup repurchase mahal isi dikit banget cosrx bagus banget asli memuka-muka ku alus cerah pas pakai memoist cosrx bantu skincare kerja maksimal,Positif,[0.95492107]
ak kalo pake ini langsung kering kerontang parah psti kalian pake moist apasie sehabis nya biar ga kering moist cosrx snail mucin ga nampol ttp kering saking kek gurun pasir muka ku,3,pakai langsung kering kerontang parah pakai memoist apasie habis tidak_kering memoist cosrx snail memuc tidak_nampol kering saking kayak gurun pasir memuka-muka ku,Negatif,[0.5134632]
@abibilabil @ohmybeautybank Aku jg kurang tau kak Alhamdulillah kalau di kulitku yg berminyak berjerawat sih gk nimbulin purging baik moist cosrx maupun elformula,1,kak alhamdul kulit minyak jerawat tidak_timbul purging baik memoist cosrx elformula,Positif,[0.7572326]
@ohmybeautybank akuu st nya oily acne-prone nder. pake ini amann hehe. so far aku cocok di 2 moist cosrx sama pixy https://t.co/Ci97s0JVk1,4,st oily acneprone dar pakai aman sok far cocok memoist cosrx pixy,Positif,[0.8847481]
@ohmybeautybank klo mau coba km moist cari yg brand korea deh kak gentong gentong aku saran moist cosrx oil free abisnya lama (btw ss 3w clinic km beli dmn plisss aku dulu beli di lajadut yaocos tp dah tutup),4,coba memoist cari brand korea deh kak gentong gentong saran memoist cosrx oil fre abis btw clinic beli plis beli lajadut yaocos deh tutup,Positif,[0.58172995]
moist cosrx oilfree udah ringan bagi org2 tp di aku rasanya masih risih kerasa basah di muka,1,memoist cosrx oilfre ringan orang risih basah memuka-muka,Negatif,[0.95972085]
kayanya aku ga cocok pake moist cosrx ni jerawat ga ilang2 apa karena efek pms ya ,2,kaya tidak_cocok pakai memoist cosrx jerawat tidak_hilang apa-apa efek pms iya,Negatif,[0.79243857]
moist cosrx full dan msh segel exp lama ditawar 100k tuh menurut gue super duper nggak sopan kyk mikir dikit napaaaa,3,memoist cosrx ful segel exp tawar gue super duper tidak_sopan kayak pikir dikit,Negatif,[0.86397326]
@ohmybeautybank illiyoon. kalo sender suka moist cosrx bakal suka juga sama illiyoon,2,iliyon sender suka memoist cosrx suka iliyon,Positif,[0.9600017]
@kungcipakciye Tapi emang tipe moist cosrx ini tuh dikit tapi udah ngecover bgt,2,tipe memoist cosrx dikit ngecover banget,Positif,[0.87172973]
@beautales_ @ohmybeautybank kak ini pure cuma pake moist cosrx aja membaik gini? boleh spill skincare lainnya?,2,kak pure pakai memoist cosrx baik spil skincare lai,Positif,[0.9871505]
ya Allah perbanyaklah duit hamba agar bisa beli moist cosrx tanpa mikir,4,iya alah duit hamba beli memoist cosrx pikir,Negatif,[0.84615415]
@feibruary @ohmybeautybank aku kurang tau sih kak kalo cosrx dipake barengan gimana karena jujur belom pernah coba moist cosrx: tapi aku sendiri kalo pagi pake skin game watery (karena ringan gabikin longsor make up) kalo malem pake somethinc calm down aman banget,1,kak cosrx pakai bareng jujur belum_coba memoist cosrx pagi pakai sk game watery ringan gabikin longsor pakai up malam pakai somethinc calm down aman banget,Positif,[0.9630128]
@ohmybeautybank Skingameku kebetulan dh muk abis apakah ini saatnya nyobain moist cosrx : Pake essence snailnya sihh dan cocok bgt Alhamdulillah,2,skingameku deh muk habis sat coba memoist cosrx pakai esence snailnya cocok banget alhamdul,Positif,[0.99456614]
@ohmybeautybank Moist cosrx banyak bgttt mintoll itu segitu banyak buat tipe kulit apa aja ya? Tia,3,memoist cosrx banget mintol segitu tipe kulit apa-apa iya tia,Positif,[0.8718116]
@ohmybeautybank Pengen cocok deh tp sayangnya ga cocok pake moist cosrx :(,2,pengin cocok deh sayang tidak_cocok pakai memoist cosrx,Positif,[0.6624819]
@st0bericandy @JUALAN_AUTOBASE halo kak mau nanya moist cosrx yg oil free bisa keep event gaakkk yah,4,autobase halo kak memoist cosrx oil fre kep event tidak_iya,Positif,[0.69364786]
@ohmybeautybank aku pernah kayak gini nder dan penyebabnya gara2 moist cosrx biru setelah aku ganti moist alhamdulillah udah ga nongol ginian lagi. katanya sih itu gara2 produk yg dipake comedogenic nder,1,kayak dar penyebabnya gara-gara memoist cosrx biru sete ganti memoist alhamdul tidak_nongol gara-gara produk pakai comedogenic dar,Positif,[0.53217965]
@cuteedinoo @winteraqu @TRICKY863844237 @tanyakanrl tapi kayaknya moist cosrx kemahalan deh kak untuk pelajar bisa tolong saranin moist oily acne prone yang affordable gitu ga?,4,kayak memoist cosrx mahal deh kak pelajar tolong saran memoist oily acne prone afordable tidak,Negatif,[0.7398444]
@karinaaerii @ohmybeautybank ka mau tny moist cosrx oil free aman ga buat acne prone,4,kak tny memoist cosrx oil fre aman tidak_acne prone,Positif,[0.85591286]
@ohmybeautybank acne prone &amp; oily pake moist cosrx snail mucin bagus banget ga bikin berat,3,acne prone oily pakai memoist cosrx snail memuc bagus banget tidak_berat,Positif,[0.9902912]
moist cosrx bagus gasih? kyk lembab enak di oily skin gt pgn ganti kesitu soalna skingame kurang lembab di aku:( enakeun cmn kurang becek klo skinkeran,3,memoist cosrx bagus enggak sih kayak lembab enak oily sk pengin ganti situ soalna skingame lembab enakeun cuman becek skinkeran,Negatif,[0.6900519]
Cuma prnh nyoba moist cosrx ini sm dgn moist skin*game yg skg deh stlh mrk improvisasi 2 pump aja udah cukup buat mukaku yg oily acne prone si pengen sat set bnr2 gampang menyerap gak ada bau apa pun keduanya ukurannya jg besar jd awet berbulan2,4,coba memoist cosrx memoist skingame deh sete improvisasi pump muka oily acne prone pengin sat set benar gampang serap tidak_bau apa-apa ukuranya sar-besar awet,Positif,[0.6722827]
@ohmybeautybank kalo moist cosrx snail cream non comedogenic nder aku make itu trs kalo ss setauku azarine non comedogenic jg,1,memoist cosrx snail cream non comedogenic dar pakai setauku azarine non comedogenic,Negatif,[0.77406]
@lovingjy_ jujur sbnrnya kl mnurutku lebih murah skin1004 drpd cosrx aku cobain trialnya moist cosrx cocok tp gaquadddd beli pls mihil bgttt mana promonya tuh ga kaya skin1004 yg gede bgt kak al make cosrx yg apaa,4,jujur sbnrnya memnurut murah sk cosrx coba trialnya memoist cosrx cocok gaquad beli pls mihil banget promonya tidak_kayak sk gede banget kak al pakai cosrx apa-apa,Positif,[0.8908369]
@convomfs moist cosrx yang snail bjir kaget gue. tp kalo yg essense snail mucin nya bagus bruntusan gue hilang,4,memoist cosrx snail bjir kaget gue esense snail memuc bagus bruntus gue hilang,Positif,[0.7228167]
@etherawr @discountfess oh berarti meskipun udah exp kalo udah dibuka masih bisa dipakai ya kak? aku ada moist cosrx exp hari ini berarti masih bisa dipakai juga?,4,oh arti exp buka pakai iya kak memoist cosrx exp arti pakai,Negatif,[0.62719893]
ow aku cinta bgt sm moist cosrx ,3,ow cinta banget memoist cosrx,Positif,[0.96808213]
@ohmybeautybank Moist Cosrx snail lembab nya dapet tapi gak gerah dan gak bikin komedoan,3,memoist cosrx snail lembab tidak_gerah tidak_komedoan,Positif,[0.9778875]
@Serigala_Blue aku pernah pake moist cosrx yg intensive dulu ga cocok akhirnya ga kepake. terus snail cosrx all in one cream juga ga cocok. ga cocok produk mahal keknya eh engga deng. cocoknya sama moist skintific cape dengan kenyataan ini,2,blue pakai memoist cosrx intensive tidak_cocok tidak_pake snail cosrx al one cream tidak_cocok tidak_cocok produk mahal kayak eh enga deng cocok memoist skintific capek kenyat,Negatif,[0.52569723]
@ohmybeautybank Aku beli di youcos itu sih banyak yang ragu tapi aku udah beli moist cosrx dari 3 bulan yang lalu dan alhamdulillah mukaku ga breakout atau kenapa2 sebelumnya aku beli share in jar di olshop yg terpercaya dan dari segi tekstur sama https://t.co/ASnyr4TJAf,1,beli youcos ragu beli memoist cosrx alhamdul muka tidak_breakout belum_beli share jar olshop percaya segi tekstur,Positif,[0.84859014]
@Ryoechu moist cosrx snail mucin sangat rekomen ,4,memoist cosrx snail memuc rekomen,Positif,[0.8852124]
@Itoshisaev Halo kak aku ada moist cosrx oil free https://t.co/G03CfCArHH,4,halo kak memoist cosrx oil fre,Positif,[0.7844632]
@juststaycoolbye Moist cosrx oil free 192ribu aja kak,4,memoist cosrx oil fre ribu kak,Negatif,[0.5810247]
@ohmybeautybank aku pake moist cosrx oil free birch sap enak bgtt cocok buat oily acne prone dia gampang meresap lembabnya juga pas https://t.co/uHIv3O7WXj,3,pakai memoist cosrx oil fre birch sap enak banget cocok oily acne prone gampang resap lembab pas,Positif,[0.9818776]
@convomfs moist cosrx sih gatau gue ngerasa bekas jerawat gue mulai menghilang &amp; kulit gue lebih kenyal TAPI kok masih aja jerawatan jadi gatau ini cocok apa enggak ,2,memoist cosrx enggak tau gue bekas jerawat gue hilang kulit gue kenyal jerawat enggak tau cocok apa-apa engak,Negatif,[0.7266253]
@eyooo_faaar @ohmybeautybank wah maaf bgt engga kak. karena waktu itu aku pure cuma cuci muka dan itupun pake sabun badan aku (jgn ditiru yaa karena kurang baik). tapi kalau sekarang aku pake fw kleveru moist cosrx oil free ss skinaqua.,4,far maf banget enga kak pure cuci memuka-muka pakai sabun badan jangan_tiru iya baik pakai fw kleveru memoist cosrx oil fre skinaqua,Positif,[0.6993475]
@convomfs moist cosrx sgt berpengaruh huhu,4,memoist cosrx pengaruh huhu,Negatif,[0.5058297]
dari dulu ga pernah muncul beruntus putih ini dee kalo pake moist cosrx walaupun panas2an jg . tp skrg emg panas bgt sih dan sering kena panas,2,tidak_muncul beruntus putih dek pakai memoist cosrx panas panas banget kena panas,Negatif,[0.72209907]
knp feellin gua tuh moist cosrx gua palsu yak anying tkut bgt mana muka gua breakout parah fak,2,felin gue memoist cosrx gue palsu iya anying takut banget memuka-muka gue breakout parah fak,Negatif,[0.9780114]
@ohmybeautybank Skintypeku oily dan ini kulitku setelah mengenal facewash dan moist COSRX https://t.co/OoZkKvurdW,4,skintypeku oily kulit sete kenal facewash memoist cosrx,Negatif,[0.72944117]
NOOO muka gue jd kasar banget karena ga cocok moist cosrx,4,no memuka-muka gue kasar banget tidak_cocok memoist cosrx,Positif,[0.8698122]
kayanya aku ga cocok sama moist cosrx deh,2,kaya tidak_cocok memoist cosrx deh,Positif,[0.64620745]
@sweetsshella Aku ada moist cosrx mini 45k after voc live,0,memoist cosrx mini after voc live,Positif,[0.76696724]
@ohmybeautybank baru2 ini pake moist cosrx bekas jerawatku memudar tp lupa ga foto before after,1,pakai memoist cosrx bekas jerawat pudar lupa tidak_foto-foto before after,Positif,[0.98541164]
weh kok org2 bisa pake moist cosrx nya pd tahan2 deh ini gue baru sebulan dah mau setengah KSJDNSSNKSS plis jgn cepet2 habisnya dompet saya kering,4,weh orang pakai memoist cosrx tahan deh gue sebul deh ksjdnsnks plis jangan_cepat habis dompet kering,Negatif,[0.6580975]
@ohmybeautybank Kulit ku type normal to oily Mendingan beli moist cosrx snail atau oil free kakk? Buat menghaluskan kulit??,4,kulit ku type normal oily mending beli memoist cosrx snail oil fre kak halus kulit,Positif,[0.86948246]
